,Configuration,Averaged on Last Epoch,Averaged Max Achieved,Overall Max on Last Epoch,Overall Max Achieved,Averaged Max Epoch
366,"Activation: softsign, Optimizer: Adamax, beta_1: 0.950000, beta_2: 0.990000, Decay: 0.000000, Normalized data",97.604,97.604,97.68,97.75,99
367,"Activation: softsign, Optimizer: Adamax, beta_1: 0.950000, beta_2: 0.950000, Decay: 0.000000, Normalized data",97.49400000000001,97.524,97.57000000000001,97.66,73
368,"Activation: softsign, Optimizer: Adamax, beta_1: 0.900000, beta_2: 0.900000, Decay: 0.000000, Normalized data",97.444,97.478,97.48,97.7,96
369,"Activation: softsign, Optimizer: Adamax, beta_1: 0.900000, beta_2: 0.990000, Decay: 0.000000, Normalized data",97.478,97.54799999999999,97.55,97.7,98
370,"Activation: softsign, Optimizer: Adamax, beta_1: 0.900000, beta_2: 0.950000, Decay: 0.000000, Normalized data",97.428,97.498,97.55,97.61999999999999,93
371,"Activation: softsign, Optimizer: Nadam, beta_1: 0.900000, beta_2: 0.990000, Schedule Decay: 0.004000, Normalized data",97.416,97.54400000000001,97.52,97.72999999999999,94
372,"Activation: softsign, Optimizer: Nadam, beta_1: 0.950000, beta_2: 0.999000, Schedule Decay: 0.004000, Normalized data",97.412,97.49600000000001,97.61999999999999,97.65,90
373,"Activation: softsign, Optimizer: Nadam, beta_1: 0.950000, beta_2: 0.990000, Schedule Decay: 0.004000, Normalized data",97.392,97.50399999999999,97.45,97.61,87
374,"Activation: softsign, Optimizer: Nadam, beta_1: 0.950000, beta_2: 0.950000, Schedule Decay: 0.004000, Normalized data",97.482,97.528,97.55,97.68,94
375,"Activation: softsign, Optimizer: Nadam, beta_1: 0.950000, beta_2: 0.900000, Schedule Decay: 0.004000, Normalized data",97.436,97.506,97.52,97.64,66
376,"Activation: softsign, Optimizer: Nadam, beta_1: 0.900000, beta_2: 0.900000, Schedule Decay: 0.004000, Normalized data",97.506,97.564,97.55,97.71,63
377,"Activation: softsign, Optimizer: Nadam, beta_1: 0.900000, beta_2: 0.950000, Schedule Decay: 0.004000, Normalized data",97.45800000000001,97.472,97.65,97.69,90
378,"Activation: hard_sigmoid, Optimizer: sgd, Momentum: 0.100000, Decay: 0.000000, Nesterov: False, Normalized data",93.88,93.88,93.94,93.94,99
379,"Activation: hard_sigmoid, Optimizer: sgd, Momentum: 0.900000, Decay: 0.000000, Nesterov: False, Normalized data",97.416,97.46000000000001,97.65,97.65,95
380,"Activation: hard_sigmoid, Optimizer: sgd, Momentum: 0.950000, Decay: 0.000000, Nesterov: False, Normalized data",97.682,97.69200000000001,97.87,97.91,95
381,"Activation: hard_sigmoid, Optimizer: sgd, Momentum: 0.990000, Decay: 0.000000, Nesterov: False, Normalized data",97.44999999999999,97.604,97.59,97.83,69
382,"Activation: hard_sigmoid, Optimizer: sgd, Momentum: 0.999000, Decay: 0.000000, Nesterov: False, Normalized data",95.94200000000001,96.13400000000001,96.25,96.58,96
383,"Activation: hard_sigmoid, Optimizer: sgd, Momentum: 0.000000, Decay: 0.000000, Nesterov: True, Normalized data",93.632,93.632,93.78999999999999,93.78999999999999,99
384,"Activation: hard_sigmoid, Optimizer: sgd, Momentum: 0.100000, Decay: 0.000000, Nesterov: True, Normalized data",93.854,93.854,93.9,93.9,99
385,"Activation: hard_sigmoid, Optimizer: sgd, Momentum: 0.900000, Decay: 0.000000, Nesterov: True, Normalized data",97.45799999999998,97.45799999999998,97.53,97.58,99
386,"Activation: hard_sigmoid, Optimizer: sgd, Momentum: 0.950000, Decay: 0.000000, Nesterov: True, Normalized data",97.60799999999999,97.64399999999999,97.67,97.72999999999999,91
387,"Activation: hard_sigmoid, Optimizer: sgd, Momentum: 0.990000, Decay: 0.000000, Nesterov: True, Normalized data",97.592,97.71600000000001,97.76,97.91,63
388,"Activation: hard_sigmoid, Optimizer: sgd, Momentum: 0.999000, Decay: 0.000000, Nesterov: True, Normalized data",96.214,96.35999999999999,96.38,96.72,93
389,"Activation: hard_sigmoid, Optimizer: rmsp, rho: 0.500000, Decay: 0.000000, Normalized data",96.924,96.924,97.02,97.1,99
390,"Activation: hard_sigmoid, Optimizer: rmsp, rho: 0.990000, Decay: 0.000000, Normalized data",97.56,97.61599999999999,97.65,97.77,86
391,"Activation: hard_sigmoid, Optimizer: rmsp, rho: 0.950000, Decay: 0.000000, Normalized data",97.45000000000002,97.51199999999999,97.58,97.66,72
392,"Activation: hard_sigmoid, Optimizer: rmsp, rho: 0.999000, Decay: 0.000000, Normalized data",97.54599999999999,97.69399999999999,97.59,97.84,40
393,"Activation: hard_sigmoid, Optimizer: rmsp, rho: 0.999900, Decay: 0.000000, Normalized data",97.26199999999999,97.30199999999999,97.35000000000001,97.54,87
394,"Activation: hard_sigmoid, Optimizer: Adadelta, rho: 0.500000, Decay: 0.000000, Normalized data",97.45000000000002,97.45000000000002,97.56,97.61,99
395,"Activation: hard_sigmoid, Optimizer: Adadelta, rho: 0.900000, Decay: 0.000000, Normalized data",97.59599999999999,97.63999999999999,97.64,97.78999999999999,94
396,"Activation: hard_sigmoid, Optimizer: Adadelta, rho: 0.990000, Decay: 0.000000, Normalized data",97.69200000000001,97.72999999999999,97.72999999999999,97.87,88
397,"Activation: hard_sigmoid, Optimizer: Adadelta, rho: 0.999000, Decay: 0.000000, Normalized data",97.674,97.726,97.76,97.88,91
398,"Activation: hard_sigmoid, Optimizer: Adadelta, rho: 0.999900, Decay: 0.000000, Normalized data",97.67600000000002,97.67600000000002,97.77,97.86,99
399,"Activation: hard_sigmoid, Optimizer: adam, amsgrad: 0.000000, beta_1: 0.950000, beta_2: 0.999900, Decay: 0.000000, Normalized data",97.46000000000001,97.54599999999999,97.59,97.72,62
