,Activation,Optimizer,Configuration,Data type,Averaged on Last Epoch,Averaged Max Achieved,Overall Max on Last Epoch,Overall Max Achieved,Averaged Max Epoch
750,elu,Nadam,"beta_1: 0.95, beta_2: 0.999",Std,97.66,97.774,97.75,97.99,85
166,relu,sgd,"Momentum: 0.95, Nesterov: True",Normd,97.664,97.774,97.76,97.97,83
305,softplus,rmsp,rho: 0.9999,Normd,97.66199999999999,97.772,97.72,97.99,38
690,relu,adam,"amsgrad: False, beta_1: 0.9, beta_2: 0.999",Std,97.66199999999999,97.77000000000001,97.77,98.03,56
793,selu,Nadam,"beta_1: 0.9, beta_2: 0.99",Std,97.59,97.77,97.82,98.07000000000001,38
328,softplus,Nadam,"beta_1: 0.95, beta_2: 0.999",Normd,97.614,97.76800000000001,97.65,97.96000000000001,40
35,softplus,rmsp,Default,Normd,97.636,97.76599999999999,97.69,97.9,45
814,softplus,rmsp,rho: 0.999,Std,97.70200000000001,97.76599999999999,97.97,97.97,35
39,softplus,Adadelta,Default,Normd,97.74199999999999,97.76400000000001,97.91,97.94,94
183,relu,adam,"amsgrad: True, beta_1: 0.95, beta_2: 0.9999",Normd,97.70199999999998,97.76400000000001,97.91,98.00999999999999,33
121,tanh,sgd,"Momentum: 0.9, Nesterov: True",Normd,97.746,97.76000000000002,97.91,97.91,74
537,elu,Nadam,Default,Std,97.57200000000002,97.76,97.76,98.06,37
79,sigmoid,sgd,"Momentum: 0.99, Nesterov: True",Normd,97.69,97.758,97.86,97.89,79
329,softplus,Nadam,"beta_1: 0.95, beta_2: 0.99",Normd,97.64200000000001,97.758,97.71,97.92999999999999,48
176,relu,Adadelta,rho: 0.99,Normd,97.652,97.75600000000001,97.71,97.89,54
526,relu,sgd,Default,Std,97.682,97.75399999999999,97.82,97.95,97
799,selu,Nadam,"beta_1: 0.9, beta_2: 0.95",Std,97.518,97.752,97.59,97.92999999999999,26
669,relu,sgd,"Momentum: 0.9, Nesterov: False",Std,97.604,97.752,97.69,97.89,46
177,relu,Adadelta,rho: 0.999,Normd,97.66,97.75,97.87,97.9,81
160,relu,sgd,"Momentum: 0.95, Nesterov: False",Normd,97.72800000000001,97.75,97.87,97.99,93
180,relu,adam,"amsgrad: False, beta_1: 0.9, beta_2: 0.999",Normd,97.586,97.75,97.67,97.92,50
92,sigmoid,adam,"amsgrad: False, beta_1: 0.9, beta_2: 0.999",Normd,97.61599999999999,97.75,97.8,97.91,83
796,selu,Nadam,"beta_1: 0.95, beta_2: 0.95",Std,97.5,97.74800000000002,97.61,97.96000000000001,25
195,relu,Nadam,"beta_1: 0.9, beta_2: 0.99",Normd,97.58000000000001,97.74799999999999,97.78,97.89,30
170,relu,rmsp,rho: 0.99,Normd,97.63400000000001,97.744,97.72999999999999,97.91,46
541,selu,Adagrad,Default,Std,97.72999999999999,97.744,97.81,97.86,85
143,tanh,Adamax,"beta_1: 0.99, beta_2: 0.9999",Normd,97.696,97.744,97.78999999999999,98.02,98
525,relu,adam,Default,Std,97.58800000000001,97.744,97.77,98.0,81
102,sigmoid,Adamax,"beta_1: 0.95, beta_2: 0.99",Normd,97.708,97.742,97.94,98.0,95
12,tanh,Adamax,Default,Normd,97.67999999999999,97.73799999999999,97.78,97.83,97
144,tanh,Adamax,"beta_1: 0.99, beta_2: 0.999",Normd,97.69400000000002,97.73799999999999,97.78999999999999,97.9,89
189,relu,Adamax,"beta_1: 0.95, beta_2: 0.999",Normd,97.688,97.73599999999998,97.87,97.89,54
257,selu,rmsp,rho: 0.5,Normd,97.7,97.732,97.75,97.89,82
131,tanh,Adadelta,rho: 0.9,Normd,97.64000000000001,97.732,97.69,97.94,92
808,softplus,sgd,"Momentum: 0.95, Nesterov: True",Std,97.576,97.72999999999999,97.74000000000001,97.97,37
396,hard_sigmoid,Adadelta,rho: 0.99,Normd,97.69200000000001,97.72999999999999,97.72999999999999,97.87,88
529,relu,Adamax,Default,Std,97.636,97.72999999999999,97.76,97.9,52
88,sigmoid,Adadelta,rho: 0.99,Normd,97.696,97.72800000000001,97.81,97.86,93
746,elu,Adamax,"beta_1: 0.9, beta_2: 0.9",Std,97.60799999999999,97.726,97.67,97.99,42
397,hard_sigmoid,Adadelta,rho: 0.999,Normd,97.674,97.726,97.76,97.88,91
548,softplus,Adagrad,Default,Std,97.684,97.726,97.71,97.78999999999999,96
184,relu,adam,"amsgrad: True, beta_1: 0.9, beta_2: 0.999",Normd,97.62,97.72599999999998,97.9,97.91,69
179,relu,adam,"amsgrad: False, beta_1: 0.95, beta_2: 0.9999",Normd,97.592,97.722,97.72,97.98,80
89,sigmoid,Adadelta,rho: 0.999,Normd,97.652,97.722,97.74000000000001,97.86,73
674,relu,sgd,"Momentum: 0.1, Nesterov: True",Std,97.59599999999999,97.722,97.71,97.91,96
689,relu,adam,"amsgrad: False, beta_1: 0.95, beta_2: 0.9999",Std,97.60199999999999,97.72000000000001,97.78999999999999,98.07000000000001,60
698,relu,Adamax,"beta_1: 0.99, beta_2: 0.999",Std,97.65599999999999,97.72000000000001,97.75,97.92,60
324,softplus,Adamax,"beta_1: 0.9, beta_2: 0.9",Normd,97.198,97.718,97.41,97.88,21
387,hard_sigmoid,sgd,"Momentum: 0.99, Nesterov: True",Normd,97.592,97.71600000000001,97.76,97.91,63
149,tanh,Adamax,"beta_1: 0.9, beta_2: 0.99",Normd,97.712,97.716,97.87,97.88,61
146,tanh,Adamax,"beta_1: 0.95, beta_2: 0.99",Normd,97.62,97.714,97.7,97.86,85
